dataset,split,model,best_iters,n_estimators,max_depth,min_child_weight,learning_rate,accuracy,precision,recall,f1_score,auc_roc
wine,3070,BAGDT,100,100,20,50,1.0,0.956034293251264,0.923572744014733,0.8955357142857143,0.9093381686310064,0.9807442038495189
wine,3070,BSTDT,32,32,20,50,0.1,0.9760386898219389,0.9846596356663471,0.9169642857142857,0.9496070272769301,0.9942469430904471
wine,3070,BSTST,256,256,1,1,0.1,0.993185315453946,0.9874664279319606,0.9848214285714286,0.986142154671435,0.9972159730033745
customer,3070,BAGDT,100,100,20,50,1.0,0.676595744680851,0.7288629737609329,0.6493506493506493,0.6868131868131868,0.7257426948051949
customer,3070,BSTDT,8,8,20,50,0.1,0.6801418439716312,0.7181942544459644,0.6818181818181818,0.6995336442371752,0.7190706168831169
customer,3070,BSTST,64,64,1,1,0.1,0.700709219858156,0.7383561643835617,0.7,0.7186666666666667,0.7722920048701299
cup98,3070,BAGDT,100,100,20,50,1.0,0.9344063482557269,0.06502636203866433,0.02182247124741964,0.03267829542945463,0.5337492938900968
cup98,3070,BSTDT,1,1,20,50,0.1,0.9492289264860009,0.0,0.0,0.0,0.5543618282620427
cup98,3070,BSTST,1,1,1,1,0.1,0.9492289264860009,0.0,0.0,0.0,0.5665150214496051
wine,5050,BAGDT,100,100,20,50,1.0,0.976915974145891,0.9548306148055207,0.95125,0.9530369442705072,0.9921868619844836
wine,5050,BSTDT,32,32,20,50,0.1,0.9809172052939366,0.9817232375979112,0.94,0.9604086845466155,0.9946848203348304
wine,5050,BSTST,512,512,1,1,0.1,0.9941520467836257,0.9887359198998749,0.9875,0.9881175734834271,0.9984136382196815
customer,5050,BAGDT,100,100,20,50,1.0,0.692154915590864,0.7316602316602316,0.6890909090909091,0.7097378277153558,0.7501511836085141
customer,5050,BSTDT,128,128,20,50,0.1,0.6971201588877854,0.7289719626168224,0.7090909090909091,0.7188940092165899,0.7624706584444003
customer,5050,BSTST,1024,1024,1,1,0.1,0.6971201588877854,0.7264325323475046,0.7145454545454546,0.7204399633363886,0.7646409389297792
cup98,5050,BAGDT,100,100,20,50,1.0,0.933364076550611,0.06444188722669736,0.023121387283236993,0.03403220905499848,0.5448827624147898
cup98,5050,BSTDT,1,1,20,50,0.1,0.9492317689227996,0.0,0.0,0.0,0.5706089071443752
cup98,5050,BSTST,1,1,1,1,0.1,0.9492317689227996,0.0,0.0,0.0,0.5635860579117831
wine,7030,BAGDT,100,100,20,50,1.0,0.9856410256410256,0.9808510638297873,0.9604166666666667,0.9705263157894737,0.9968140589569161
wine,7030,BSTDT,64,64,20,50,0.1,0.9876923076923076,0.9871794871794872,0.9625,0.9746835443037974,0.9963633786848072
wine,7030,BSTST,256,256,1,1,0.1,0.9933333333333333,0.9874739039665971,0.9854166666666667,0.986444212721585,0.9972094671201814
customer,7030,BAGDT,100,100,20,50,1.0,0.6870860927152318,0.7238095238095238,0.6909090909090909,0.7069767441860465,0.765389294403893
customer,7030,BSTDT,8,8,20,50,0.1,0.6903973509933775,0.7134328358208956,0.7242424242424242,0.718796992481203,0.7570449015704491
customer,7030,BSTST,2048,2048,1,1,0.1,0.7052980132450332,0.7360248447204969,0.7181818181818181,0.7269938650306749,0.7792855562928556
cup98,7030,BAGDT,100,100,20,50,1.0,0.9346702068194522,0.08875739644970414,0.030970406056434963,0.04591836734693878,0.5538922857182733
cup98,7030,BSTDT,1,1,20,50,0.1,0.9492384013415316,0.0,0.0,0.0,0.5822635302815543
cup98,7030,BSTST,2048,2048,1,1,0.1,0.9492384013415316,0.0,0.0,0.0,0.6178418257614091
