dataset,split,model,penalty,lambda,accuracy,precision,recall,f1_score,auc_roc
wine,3070,LR,l2,1.0,0.9918663501739502,0.9762532981530343,0.9910714285714286,0.9836065573770492,0.9915987253189087
wine,3070,LR,l1,10.0,0.9912068843841553,0.9745166959578208,0.9901785714285715,0.9822852081488043,0.990860641002655
wine,3070,LR,elasticnet,1.0,0.9920861721038818,0.9779541446208113,0.9901785714285715,0.9840283939662822,0.991443932056427
customer,3070,LR,l2,0.09999999999999999,0.693617045879364,0.7725806451612903,0.6220779220779221,0.6892086330935252,0.7008827328681946
customer,3070,LR,l1,1e-07,0.6929078102111816,0.7722132471728594,0.6207792207792208,0.6882649388048956,0.7002334594726562
customer,3070,LR,elasticnet,1e-07,0.6929078102111816,0.7722132471728594,0.6207792207792208,0.6882649388048956,0.7002334594726562
cup98,3070,LR,l2,100.0,0.6234466433525085,0.06798236905849184,0.5048658212916544,0.11982921537061665,0.5673274993896484
cup98,3070,LR,l1,10000.0,0.9492289423942566,0.0,0.0,0.0,0.5
cup98,3070,LR,elasticnet,10000.0,0.9492289423942566,0.0,0.0,0.0,0.5
wine,7030,LR,l2,1e-07,0.9948717951774597,0.9875518672199171,0.9916666666666667,0.9896049896049897,0.9937925338745117
wine,7030,LR,l1,1e-07,0.9948717951774597,0.9875518672199171,0.9916666666666667,0.9896049896049897,0.9937925338745117
wine,7030,LR,elasticnet,1e-07,0.9948717951774597,0.9875518672199171,0.9916666666666667,0.9896049896049897,0.9937925338745117
customer,7030,LR,l2,1000.0,0.6870861053466797,0.7722007722007722,0.6060606060606061,0.6791171477079796,0.6953660845756531
customer,7030,LR,l1,1e-07,0.6854304671287537,0.7777777777777778,0.593939393939394,0.6735395189003437,0.6947799324989319
customer,7030,LR,elasticnet,1e-07,0.6854304671287537,0.7777777777777778,0.593939393939394,0.6735395189003437,0.6947799324989319
cup98,7030,LR,l2,100.0,0.6190958619117737,0.07022012006549026,0.5313145216792843,0.12404595484855789,0.5775522589683533
cup98,7030,LR,l1,1000.0,0.6298211216926575,0.07343472986843333,0.5416379903647626,0.12933442892358257,0.5880874395370483
cup98,7030,LR,elasticnet,10000.0,0.7039197683334351,0.07287104622871046,0.4122505161734343,0.12384989145042903,0.5658838152885437
wine,5050,LR,l2,1.0,0.992305338382721,0.9789864029666254,0.99,0.9844623990055935,0.9915291666984558
wine,5050,LR,l1,10.0,0.9926131367683411,0.9801980198019802,0.99,0.9850746268656716,0.9917333722114563
wine,5050,LR,elasticnet,1.0,0.992305338382721,0.9801734820322181,0.98875,0.984443061605476,0.9911084175109863
customer,5050,LR,l2,10.0,0.6991062760353088,0.7839080459770115,0.62,0.6923857868020304,0.7071553468704224
customer,5050,LR,l1,1e-07,0.6971201300621033,0.7790432801822323,0.6218181818181818,0.6916076845298281,0.7047821879386902
customer,5050,LR,elasticnet,1e-07,0.6971201300621033,0.7790432801822323,0.6218181818181818,0.6916076845298281,0.7047821879386902
cup98,5050,LR,l2,1000.0,0.6211667060852051,0.07023999121313636,0.5280759702725021,0.12398817313751151,0.5771107077598572
cup98,5050,LR,l1,10000.0,0.949231743812561,0.0,0.0,0.0,0.5
cup98,5050,LR,elasticnet,10000.0,0.949231743812561,0.0,0.0,0.0,0.5
