dataset,split,model,mtry,accuracy,precision,recall,f1_score,auc_roc
wine,3070,RF,1,0.9909870028495789,0.9954086317722681,0.9678571428571429,0.9814395654142146,0.9980226755142212
wine,3070,RF,3,0.9929654598236084,0.9936479128856625,0.9776785714285714,0.9855985598559855,0.9974136352539062
wine,3070,RF,6,0.9925258159637451,0.9936363636363637,0.9758928571428571,0.9846846846846847,0.9981423020362854
wine,3070,RF,12,0.9868102669715881,0.9809437386569873,0.9651785714285714,0.972997299729973,0.9962783455848694
wine,3070,RF,24,0.9868102669715881,0.9809437386569873,0.9651785714285714,0.972997299729973,0.9962783455848694
customer,3070,RF,1,0.6929078102111816,0.7488921713441654,0.6584415584415585,0.7007601935038009,0.7545180320739746
customer,3070,RF,2,0.6829787492752075,0.7378497790868925,0.6506493506493507,0.6915113871635611,0.7559486627578735
customer,3070,RF,4,0.6794326305389404,0.7324561403508771,0.6506493506493507,0.6891334250343879,0.7558320164680481
customer,3070,RF,8,0.6893616914749146,0.7448377581120944,0.6558441558441559,0.6975138121546961,0.7577150464057922
customer,3070,RF,16,0.6893616914749146,0.7448377581120944,0.6558441558441559,0.6975138121546961,0.7577150464057922
cup98,3070,RF,9,0.9487348198890686,0.11627906976744186,0.001474491300501327,0.0029120559114735,0.5437926650047302
cup98,3070,RF,18,0.9490941762924194,0.0,0.0,0.0,0.5613093376159668
cup98,3070,RF,36,0.9491391181945801,0.125,0.0002948982601002654,0.0005884083553986466,0.5635303258895874
cup98,3070,RF,72,0.9491391181945801,0.125,0.0002948982601002654,0.0005884083553986466,0.5603613257408142
cup98,3070,RF,144,0.9490792155265808,0.0,0.0,0.0,0.5609819293022156
wine,7030,RF,1,0.9964102506637573,1.0,0.9854166666666667,0.9926547743966422,0.9996910095214844
wine,7030,RF,3,0.9958974123001099,0.9978902953586498,0.9854166666666667,0.9916142557651991,0.9996746778488159
wine,7030,RF,6,0.9953846335411072,0.9957894736842106,0.9854166666666667,0.9905759162303664,0.9994869232177734
wine,7030,RF,12,0.9933333396911621,0.991578947368421,0.98125,0.9863874345549738,0.9986189007759094
wine,7030,RF,24,0.9933333396911621,0.991578947368421,0.98125,0.9863874345549738,0.9986189007759094
customer,7030,RF,1,0.6970198750495911,0.7525773195876289,0.6636363636363637,0.7053140096618358,0.7672417759895325
customer,7030,RF,2,0.690397322177887,0.7407407407407407,0.6666666666666666,0.7017543859649122,0.771422266960144
customer,7030,RF,4,0.693708598613739,0.7474402730375427,0.6636363636363637,0.7030497592295345,0.7686629295349121
customer,7030,RF,8,0.692052960395813,0.7432432432432432,0.6666666666666666,0.7028753993610224,0.7593397498130798
customer,7030,RF,16,0.692052960395813,0.7432432432432432,0.6666666666666666,0.7028753993610224,0.7593397498130798
cup98,7030,RF,9,0.9488890171051025,0.08333333333333333,0.0006882312456985547,0.0013651877133105802,0.5482767820358276
cup98,7030,RF,18,0.9492034912109375,0.0,0.0,0.0,0.5600540637969971
cup98,7030,RF,36,0.9492034912109375,0.0,0.0,0.0,0.5693190097808838
cup98,7030,RF,72,0.9492034912109375,0.0,0.0,0.0,0.5626237392425537
cup98,7030,RF,144,0.949133574962616,0.2,0.0006882312456985547,0.0013717421124828531,0.5621540546417236
wine,5050,RF,1,0.9932286739349365,0.9974424552429667,0.975,0.9860935524652339,0.999369740486145
wine,5050,RF,3,0.9947676062583923,0.9961977186311787,0.9825,0.9893014474512272,0.9986299872398376
wine,5050,RF,6,0.9944598078727722,0.9961928934010152,0.98125,0.9886649874055415,0.9985114336013794
wine,5050,RF,12,0.9932286739349365,0.9924050632911392,0.98,0.9861635220125786,0.9973560571670532
wine,5050,RF,24,0.9932286739349365,0.9924050632911392,0.98,0.9861635220125786,0.9973560571670532
customer,5050,RF,1,0.7000992894172668,0.756198347107438,0.6654545454545454,0.7079303675048356,0.7637238502502441
customer,5050,RF,2,0.6971201300621033,0.7474747474747475,0.6727272727272727,0.7081339712918661,0.7584484219551086
customer,5050,RF,4,0.6911618709564209,0.7404426559356136,0.6690909090909091,0.7029608404966571,0.7576367855072021
customer,5050,RF,8,0.6921549439430237,0.7352941176470589,0.6818181818181818,0.7075471698113207,0.7478376626968384
customer,5050,RF,16,0.6921549439430237,0.7352941176470589,0.6818181818181818,0.7075471698113207,0.7478376626968384
cup98,5050,RF,9,0.9488544464111328,0.09090909090909091,0.0008257638315441783,0.0016366612111292963,0.5493541955947876
cup98,5050,RF,18,0.9491479396820068,0.0,0.0,0.0,0.5659809112548828
cup98,5050,RF,36,0.9491269588470459,0.0,0.0,0.0,0.5705884695053101
cup98,5050,RF,72,0.9491269588470459,0.0,0.0,0.0,0.5668606162071228
cup98,5050,RF,144,0.9490640759468079,0.0,0.0,0.0,0.5605727434158325
